Test Case_ID,Test Case,Functionality
TC_1019,Check with blank start date,Negative
TC_1020,Check by selecting future start date,Negative
TC_1021,Check with blank end date,Negative
TC_1022,Check by selecting future end date,Negative
TC_1023,Check by selecting start date greater than end date,Positive
TC_1024,"Check by selecting valid PMS Code, Start Date and End Date",Positive
TC_1025,Check and verify report data,Positive
TC_1026,Check by clicking on PDF icon,Positive
TC_1027,Check by clicking on Download icon,Positive
TC_1028,Check and verify report data,Positive
TC_1029,Check by clicking on PDF icon,Positive
TC_1030,Check by clicking on Download icon,Positive
TC_1031,Check and verify report data,Positive
TC_1032,Check by clicking on PDF icon,Positive
TC_1033,Check by clicking on Download icon,Positive
TC_1034,Check and verify report data,Positive
TC_1035,Check by clicking on PDF icon,Positive
TC_1036,Check by clicking on Download icon,Positive
TC_1037,Check and verify report data,Positive
TC_1038,Check by clicking on PDF icon,Positive
TC_1039,Check by clicking on Download icon,Positive
TC_1040,Check and verify report data,Positive
TC_1041,Check by clicking on PDF icon,Positive
TC_1042,Check by clicking on Download icon,Positive
TC_1043,Check name of report on page,Positive
TC_1044,Check fields for Report,Positive
TC_1045,Check and verify PMS code,Positive
TC_1046,Check without selecting PMS code proceed further,Negative
TC_1047,Check and verify Start date and end date,Positive
TC_1048,Check with blank start date,Negative
TC_1049,Check by selecting after T-7 start date,Negative
TC_1050,Check with blank end date,Negative
TC_1051,Check by selecting after T-7 end date,Negative
TC_1052,Check by selecting start date greater than end date,Positive
TC_1053,"Check by selecting valid PMS Code, Start Date and End Date",Positive
TC_1054,Check and verify report data,Positive
TC_1055,Check by clicking on PDF icon,Positive
TC_1056,Check by clicking on Download icon,Positive
TC_1057,Check and verify report data,Positive
TC_1058,Check by clicking on PDF icon,Positive
TC_1059,Check by clicking on Download icon,Positive
TC_1060,Check and verify report data,Positive
TC_1061,Check by clicking on PDF icon,Positive
TC_1062,Check by clicking on Download icon,Positive
TC_1063,Check and verify report data,Positive
TC_1064,Check by clicking on PDF icon,Positive
TC_1065,Check by clicking on Download icon,Positive
TC_1066,Check and verify report data,Positive
TC_1067,Check by clicking on PDF icon,Positive
TC_1068,Check by clicking on Download icon,Positive
TC_1069,Check and verify report data,Positive
TC_1070,Check by clicking on PDF icon,Positive
TC_1071,Check by clicking on Download icon,Positive
TC_1072,Check name of report on page,Positive
TC_1073,Check fields for Report,Positive
TC_1074,Check and verify PMS code,Positive
TC_1075,Check without selecting PMS code proceed further,Negative
TC_1076,Check and verify Start date and end date,Positive
TC_1077,Check with blank start date,Negative
TC_1078,Check by selecting future start date,Negative
TC_1079,Check with blank end date,Negative
TC_1080,Check by selecting future end date,Negative
TC_1081,Check by selecting start date greater than end date,Positive
TC_1082,"Check by selecting valid PMS Code, Start Date and End Date",Positive
TC_1083,Check and verify report data,Positive
TC_1084,Check by clicking on PDF icon,Positive
TC_1085,Check by clicking on Download icon,Positive
TC_1086,Check and verify report data,Positive
TC_1087,Check by clicking on PDF icon,Positive
TC_1088,Check by clicking on Download icon,Positive
TC_1089,Check and verify report data,Positive
TC_1090,Check by clicking on PDF icon,Positive
TC_1091,Check by clicking on Download icon,Positive
TC_1092,Check and verify report data,Positive
TC_1093,Check by clicking on PDF icon,Positive
TC_1094,Check by clicking on Download icon,Positive
TC_1095,Check and verify report data,Positive
TC_1096,Check by clicking on PDF icon,Positive
TC_1097,Check by clicking on Download icon,Positive
TC_1098,Check and verify report data,Positive
TC_1099,Check by clicking on PDF icon,Positive
TC_1100,Check by clicking on Download icon,Positive
TC_1101,Check name of report on page,Positive
TC_1102,Check fields for Report,Positive
TC_1103,Check and verify PMS code,Positive
TC_1104,Check without selecting PMS code proceed further,Negative
TC_1105,Check and verify Start date and end date,Positive
TC_1106,Check with blank start date,Negative
TC_1107,Check by selecting after T-7 start date,Negative
TC_1108,Check with blank end date,Negative
TC_1109,Check by selecting after T-7 end date,Negative
TC_1110,Check by selecting start date greater than end date,Positive
TC_1111,"Check by selecting valid PMS Code, Start Date and End Date",Positive
TC_1112,Check and verify report data,Positive
TC_1113,Check by clicking on PDF icon,Positive
TC_1114,Check by clicking on Download icon,Positive
TC_1115,Check and verify report data,Positive
TC_1116,Check by clicking on PDF icon,Positive
TC_1117,Check by clicking on Download icon,Positive
TC_1118,Check and verify report data,Positive
TC_1119,Check by clicking on PDF icon,Positive
TC_1120,Check by clicking on Download icon,Positive
TC_1121,Check and verify report data,Positive
TC_1122,Check by clicking on PDF icon,Positive
TC_1123,Check by clicking on Download icon,Positive
TC_1124,Check and verify report data,Positive
TC_1125,Check by clicking on PDF icon,Positive
TC_1126,Check by clicking on Download icon,Positive
TC_1127,Check and verify report data,Positive
TC_1128,Check by clicking on PDF icon,Positive
TC_1129,Check by clicking on Download icon,Positive
TC_1130,Check name of report on page,Positive
TC_1131,Check fields for Report,Positive
TC_1132,Check and verify PMS code,Positive
TC_1133,Check without selecting PMS code proceed further,Negative
TC_1134,Check and verify Start date and end date,Positive
TC_1135,Check with blank start date,Negative
TC_1136,Check by selecting future start date,Negative
TC_1137,Check with blank end date,Negative
TC_1138,Check by selecting future end date,Negative
TC_1139,Check by selecting start date greater than end date,Positive
TC_1140,"Check by selecting valid PMS Code, Start Date and End Date",Positive
TC_1141,Check and verify report data,Positive
TC_1142,Check by clicking on PDF icon,Positive
TC_1143,Check by clicking on Download icon,Positive
TC_1144,Check and verify report data,Positive
TC_1145,Check by clicking on PDF icon,Positive
TC_1146,Check by clicking on Download icon,Positive
TC_1147,Check and verify report data,Positive
TC_1148,Check by clicking on PDF icon,Positive
TC_1149,Check by clicking on Download icon,Positive
TC_1150,Check and verify report data,Positive
TC_1151,Check by clicking on PDF icon,Positive
TC_1152,Check by clicking on Download icon,Positive
TC_1153,Check and verify report data,Positive
TC_1154,Check by clicking on PDF icon,Positive
TC_1155,Check by clicking on Download icon,Positive
TC_1156,Check and verify report data,Positive
TC_1157,Check by clicking on PDF icon,Positive
TC_1158,Check by clicking on Download icon,Positive
TC_1159,Check name of report on page,Positive
TC_1160,Check fields for Report,Positive
TC_1161,Check and verify PMS code,Positive
TC_1162,Check without selecting PMS code proceed further,Negative
TC_1163,Check and verify Start date and end date,Positive
TC_1164,Check with blank start date,Negative
TC_1165,Check by selecting future start date,Negative
TC_1166,Check with blank end date,Negative
TC_1167,Check by selecting future end date,Negative
TC_1168,Check by selecting start date greater than end date,Positive
TC_1169,"Check by selecting valid PMS Code, Start Date and End Date",Positive
TC_1170,Check and verify report data,Positive
TC_1171,Check by clicking on PDF icon,Positive
TC_1172,Check by clicking on download icon,Positive
TC_1173,Check and verify report data,Positive
TC_1174,Check by clicking on PDF icon,Positive
TC_1175,Check by clicking on Download icon,Positive
TC_1176,Check and verify report data,Positive
TC_1177,Check by clicking on PDF icon,Positive
TC_1178,Check by clicking on Download icon,Positive
TC_1179,Check and verify report data,Positive
TC_1180,Check by clicking on PDF icon,Positive
TC_1181,Check by clicking on Download icon,Positive
TC_1182,Check and verify report data,Positive
TC_1183,Check by clicking on PDF icon,Positive
TC_1184,Check by clicking on Download icon,Positive
TC_1185,Check and verify report data,Positive
TC_1186,Check by clicking on PDF icon,Positive
TC_1187,Check by clicking on Download icon,Positive
TC_1188,Check name of report on page,Positive
TC_1189,Check fields for Report,Positive
TC_1190,To verify that user is able to select radio button for Monthly and Quarterly option,Positive
TC_1191,To verify that user is able to select both radio button for Monthly and Quarterly option,Negative
TC_1192,To verify that by default Monthly option is selected,Positive
TC_1193,Check dropdown when monthly option selected,Positive
TC_1194,To verify user is able to view Download your monthly report button,Positive
TC_1195,To verify user is able to click on Download your monthly report button,Positive
TC_1196,To verify if user select Quarterly radio button option,Positive
TC_1197,To verify that user is able to select only one quarter from dropdown,Positive
TC_1198,To verify that user is able to select more than one quarter from dropdown,Negative
TC_1199,To verify that if user select quarter then it is displayed as Oct-Dec 2020(Q3),Positive
TC_1200,To verify user is able to view Download your Quarterly report button,Positive
TC_1201,To verify user is able to click on Download your Quarterly report button,Positive
TC_1202,To verify that sequence of report for quarterly,Positive
TC_1203,Check and verify Monthly report data,Positive
TC_1204,Check and verify Quarterly report data,Positive
TC_1205,Check and verify Monthly report data,Positive
TC_1206,Check and verify Quarterly report data,Positive
TC_1207,Check and verify Monthly report data,Positive
TC_1208,Check and verify Quarterly report data,Positive
TC_1209,Check and verify Monthly report data,Positive
TC_1210,Check and verify Quarterly report data,Positive
TC_1211,Check and verify Monthly report data,Positive
TC_1212,Check and verify Quarterly report data,Positive
TC_1213,Check and verify Monthly report data,Positive
TC_1214,Check and verify Quarterly report data,Positive
TC_1215,Check name of report on page,Positive
TC_1216,Check fields for Report,Positive
TC_1217,Check and verify PMS code,Positive
TC_1218,Check without selecting PMS code proceed further,Negative
TC_1219,Check and verify Start date and end date,Positive
TC_1220,Check with blank start date,Negative
TC_1221,Check by selecting future start date,Negative
TC_1222,Check with blank end date,Negative
TC_1223,Check by selecting future end date,Negative
TC_1224,Check by selecting start date greater than end date,Positive
TC_1225,start date less than 1st Oct 2020 and end date oct 2020 in combination for with QR code,Negative
TC_1226,start date between Jul 2017 and sep 2020 and end date as 1st oct 2020 in combination for post gst report without QR code,Negative
TC_1227,start date less than Jul 2017 and end date between Jul 2017 and sep 2020 combination for post gst report without QR code,Negative
TC_1228,with start date as 1st oct 2020 and end date 1st oct 2020 onwards in combination with QR code,Positive
TC_1229,with start date and end date after 1st oct 2020 onwards in combination with QR code,Positive
TC_1230,start date as 1st oct 2020 and end date as current date in combinationfor post gst report with QR code,Positive
TC_1231,start date select as 1st july 17 and end date 30 sep 20 in combination for post gst report without QR code,Positive
TC_1232,start date and end date between july 17 and sep 20 in combination for post gst report without QR code,Positive
TC_1233,start date as jun 17 and end date as 1st oct 2020 in combination for post gst report without QR code,Negative
TC_1234,start date and end date as before july 17 in combination for pre gst report,Positive
TC_1235,start date as before july 17 and end date as 30 jun 17 in combination for pre gst report,Positive
TC_1236,start date as oct 20 and end date more than the current date in combination for post gst reports with QR code,Negative
TC_1237,Check and verify report data of post gst reports with QR,Positive
TC_1238,Check by clicking on PDF icon of post gst reports with QR,Positive
TC_1239,Check by clicking on download icon of post gst reports with QR,Positive
TC_1240,Check and verify report data of post gst reports without QR,Positive
TC_1241,Check by clicking on PDF icon of post gst reports without QR,Positive
TC_1242,Check by clicking on download icon of post gst reports without QR,Positive
TC_1243,Check and verify report data of post gst reports with QR,Positive
TC_1244,Check by clicking on PDF icon of post gst reports with QR,Positive
TC_1245,Check by clicking on download icon of post gst reports with QR,Positive
TC_1246,Check and verify report data of post gst reports without QR,Positive
TC_1247,Check by clicking on PDF icon of post gst reports without QR,Positive
TC_1248,Check by clicking on download icon of post gst reports without QR,Positive
TC_1249,Check and verify report data of post gst reports with QR,Positive
TC_1250,Check by clicking on PDF icon of post gst reports with QR,Positive
TC_1251,Check by clicking on download icon of post gst reports with QR,Positive
TC_1252,Check and verify report data of post gst reports without QR,Positive
TC_1253,Check by clicking on PDF icon of post gst reports without QR,Positive
TC_1254,Check by clicking on download icon of post gst reports without QR,Positive
TC_1255,Check and verify report data of post gst reports with QR,Positive
TC_1256,Check by clicking on PDF icon of post gst reports with QR,Positive
TC_1257,Check by clicking on download icon of post gst reports with QR,Positive
TC_1258,Check and verify report data of post gst reports without QR,Positive
TC_1259,Check by clicking on PDF icon of post gst reports without QR,Positive
TC_1260,Check by clicking on download icon of post gst reports without QR,Positive
TC_1261,Check and verify report data of post gst reports with QR,Positive
TC_1262,Check by clicking on PDF icon of post gst reports with QR,Positive
TC_1263,Check by clicking on download icon of post gst reports with QR,Positive
TC_1264,Check and verify report data of post gst reports without QR,Positive
TC_1265,Check by clicking on PDF icon of post gst reports without QR,Positive
TC_1266,Check by clicking on download icon of post gst reports without QR,Positive
TC_1267,Check and verify report data of post gst reports with QR,Positive
TC_1268,Check by clicking on PDF icon of post gst reports with QR,Positive
TC_1269,Check by clicking on download icon of post gst reports with QR,Positive
TC_1270,Check and verify report data of post gst reports without QR,Positive
TC_1271,Check by clicking on PDF icon of post gst reports without QR,Positive
TC_1272,Check by clicking on download icon of post gst reports without QR,Positive
TC_1273,Check audit report menu if report of investor has been generated,Positive
TC_1274,Check and verify name of report,Positive
TC_1275,Check and verify fields on report,Positive
TC_1276,without selecting year  proceed further,Negative
TC_1277,Check year field,Positive
TC_1278,Select year,Positive
TC_1279,without selecting PMS code click on go,Negative
TC_1280,"1.Active strategy in 2019-20 
 2.select year 2019-20
 3.check PMS code",Positive
TC_1281,"1.Active strategy in 2019-20 
 2.select year 2018-19
 3.check PMS code",Positive
TC_1282,"1.Active strategy in 2018-19 
 2.select year 2019-20
 3.check PMS code",Positive
TC_1283,"1.close one strategy of 2019-20 
 2.select year 2019-20
 3.check PMS code",Negative
TC_1284,"1.close one strategy of 2018-19 
 2.select year 2019-20
 3.check PMS code",Negative
TC_1285,"1.close all strategy of 2019-20 
 2.select year 2019-20
 3.check PMS code",Negative
TC_1286,"1.close all strategy of 2018-19 
 2.select year 2019-20
 3.check PMS code",Negative
TC_1287,Select year and PMS code and click on GO,Positive
TC_1288,Check and verify PDF,Positive
TC_1289,Check and verify PDF Data,Positive
TC_1290,Check and verify Note on audit report,Positive
TC_1291,Check and verify Content on audit report,Positive
TC_1292,Check and verify For further queries on audit report,Positive
TC_1293,Check and verify Disclaimer on audit report,Positive
TC_1294,Check and verify report data,Positive
TC_1295,Check and verify report data,Positive
TC_1296,Check and verify report data,Positive
TC_1297,Check and verify report data,Positive
TC_1298,Check and verify report data,Positive
TC_1299,Check and verify report data,Positive
TC_1300,Check name of report on page,Positive
TC_1301,Check fields for Report,Positive
TC_1302,Check and verify PMS code,Positive
TC_1303,Check without selecting PMS code proceed further,Positive
TC_1304,Check and verify Start date and end date,Positive
TC_1305,Check with blank start date,Negative
TC_1306,Check by selecting future start date,Negative
TC_1307,Check with blank end date,Negative
TC_1308,Check by selecting future end date,Negative
TC_1309,Check by selecting start date greater than end date,Negative
TC_1310,"Check by selecting valid PMS Code, Start Date and End Date",Positive
TC_1311,Check and verify report data,Positive
TC_1312,Check by clicking on PDF icon,Positive
TC_1313,Check by clicking on download icon,Positive
TC_1314,Check and verify report data,Positive
TC_1315,Check by clicking on PDF icon,Positive
TC_1316,Check by clicking on Download icon,Positive
TC_1317,Check and verify report data,Positive
TC_1318,Check by clicking on PDF icon,Positive
TC_1319,Check by clicking on Download icon,Positive
TC_1320,Check and verify report data,Positive
TC_1321,Check by clicking on PDF icon,Positive
TC_1322,Check by clicking on Download icon,Positive
TC_1323,Check and verify report data,Positive
TC_1324,Check by clicking on PDF icon,Positive
TC_1325,Check by clicking on Download icon,Positive
TC_1326,Check and verify report data,Positive
TC_1327,Check by clicking on PDF icon,Positive
TC_1328,Check by clicking on Download icon,Positive
TC_1329,Check name of report on page,Positive
TC_1330,Check fields for Report,Positive
TC_1331,Check and verify PMS code,Positive
TC_1332,Check without selecting PMS code proceed further,Positive
TC_1333,Check and verify date field,Positive
TC_1334,Check with blank date,Negative
TC_1335,Check by selecting future date,Negative
TC_1336,Check by selecting valid PMS Code and Date,Positive
TC_1337,Check and verify report data,Positive
TC_1338,Check by clicking on PDF icon,Positive
TC_1339,Check by clicking on download icon,Positive
TC_1340,Check and verify report data,Positive
TC_1341,Check by clicking on PDF icon,Positive
TC_1342,Check by clicking on Download icon,Positive
TC_1343,Check and verify report data,Positive
TC_1344,Check by clicking on PDF icon,Positive
TC_1345,Check by clicking on Download icon,Positive
TC_1346,Check and verify report data,Positive
TC_1347,Check by clicking on PDF icon,Positive
TC_1348,Check by clicking on Download icon,Positive
TC_1349,Check and verify report data,Positive
TC_1350,Check by clicking on PDF icon,Positive
TC_1351,Check by clicking on Download icon,Positive
TC_1352,Check and verify report data,Positive
TC_1353,Check by clicking on PDF icon,Positive
TC_1354,Check by clicking on Download icon,Positive
TC_1355,Check user is able to see login button,Positive
TC_1356,Check user is able to click on login button,Positive
TC_1357,Check whether MF and PMS tabs are displayed,Positive
TC_1358,Check whether user is able to Click on MF|PMS tabs,Positive
TC_1359,check whether mutual fund is selected by default after clicking on login button,Positive
TC_1360,"Check whether user is able to see text ""Lets get started""",Positive
TC_1361,Verify user is able to view login with PAN Number,Positive
TC_1362,Check user is able to login with PAN Number,Positive
TC_1363,To Verify user is able to view PAN number field,Positive
TC_1364,Verify user is able to click on Enter PAN number,Positive
TC_1365,To Verify if no input is given,Negative
TC_1366,To Verify input is 10 characters long,Positive
TC_1367,To verify if input is less than 10 characters,Negative
TC_1368,To verify if input is greater than 10 characters,Negative
TC_1369,"To verify user enter's the PAN number ""ABCDE1234E"" in this format only",Positive
TC_1370,"To verify if user enter's the PAN number other than this format ""ABCDE1234E""",Negative
TC_1371,"To verify if user enter's white space in PAN number ""ABC DE1234E""",Negative
TC_1372,To verify if user is able to enter special characters in pan number field,Negative
TC_1373,"Enter Existing PAN number and click on ""AUTHNTICATE Button""",Positive
TC_1374,Check OTP on Mobile number,Positive
TC_1375,Check OTP on Email id,Positive
TC_1376,"Check PAN Number Field after clicking on ""AUTHNTICATE Button""",Positive
TC_1377,To check user is able to view Enter OTP field,Positive
TC_1378,To check user is able to click on Enter OTP field,Positive
TC_1379,To verify OTP entered by user consists of numbers,Positive
TC_1380,To verify OTP entered by user consists a length of 6 digits,Positive
TC_1381,To verify if OTP entered by user is less than 6 digits,Negative
TC_1382,To verify if OTP entered by user is more than 6 digits,Negative
TC_1383,To verify if user enter's characters in OTP field,Negative
TC_1384,To verify if user enter's special characters in OTP field,Negative
TC_1385,To verify if user enter's white spaces in OTP field,Negative
TC_1386,To verify if user keep OTP field Blank and click on submit button,Negative
TC_1387,To verify user is able to view Submit button,Positive
TC_1388,without entering OTP click on Submit button,Positive
TC_1389,with entering valid PAN number and valid OTP click on submit,Negative
TC_1390,check with entering invalid otp more than 3 times,Negative
TC_1391,Click on Resend otp,Positive
TC_1392,Click on resend otp more than 4 times,Negative
TC_1393,Click on resend otp equal to 4 times,Positive
TC_1394,To verify if user is able to click on New investor button,Positive
TC_1395,"To verify user is able to view the following fields if if user is not registered
 1. PAN number
 2. Name as on PAN
 3. Mobile no
 4. Email Id
 5. City",Positive
TC_1396,To verify the presence of PAN number field,Positive
TC_1397,To verify user is able to click on PAN number field,Positive
TC_1398,To Verify input is 10 characters long,Positive
TC_1399,To verify if input is less than 10 characters,Positive
TC_1400,To verify if input is greater than 10 characters,Negative
TC_1401,"To verify user enter's the PAN number ""ABCDE1234E"" in this format only",Negative
TC_1402,"To verify if user enter's the PAN number other than this format ""ABCDE1234E""",Positive
TC_1403,"To verify if user enter's white space in PAN number ""ABCDE 1234E""",Negative
TC_1404,To Verify if PAN field is kept empty and proceeded further,Negative
TC_1405,To Verify input field shouldnt contain any white spaces,Negative
TC_1406,"Enter New investor kyc verified PAN number and click on ""AUTHNTICATE Button""",Positive
TC_1407,"Check PAN Number Field after clicking on ""AUTHNTICATE Button""",Positive
TC_1408,To verify that user is able to view Name field,Negative
TC_1409,To verify that name is displayed as per PAN,Positive
TC_1410,To verify that name field is in non editable mode,Positive
TC_1411,To verify user is able to view Mobile no field,Positive
TC_1412,To verify whether user is able to enter alphabets in mobile no field,Positive
TC_1413,To verify user is able to enter numbers in mobile no field,Negative
TC_1414,To verify user is able to enter special characters in mobile no field,Positive
TC_1415,To verify user is able to enter decimal values in mobile no field,Negative
TC_1416,To verify if no value is provided by the user in mobile no field,Negative
TC_1417,To verify user is able to enter white spaces in mobile no field,Negative
TC_1418,To Verify if user enter mobile number more than 10 characters,Negative
TC_1419,To verify if user enters valid mobile number,Negative
TC_1420,To Verify if user enter mobile number less than 10 characters,Positive
TC_1421,To verify if user is able to view email id field,Negative
TC_1422,To verify if user is able to click on email id field,Positive
TC_1423,To verify if user enter valid Email format,Positive
TC_1424,To verify if user enter invalid Email format,Positive
TC_1425,To verify if user enter Email without @ (ex. Abcgmail.com),Negative
TC_1426,To verify if user enter Email without . (ex. abc@gmailcom),Negative
TC_1427,To verify user is able to enter special characters excluding @ and .,Negative
TC_1428,"To verify if user enter Email as ""abc@@gmail.com""",Negative
TC_1429,"To verify if user enter Email as ""abc@gmail..com""",Negative
TC_1430,To verify if no domain has provided,Negative
TC_1431,To verify user is able to view City field,Negative
TC_1432,To verify whether user is able to add alphabets in city field,Positive
TC_1433,To verify user is able to add numbersin city field,Positive
TC_1434,To verify user is able to add special characters in city field,Negative
TC_1435,To verify user is able to add decimal values in city field,Negative
TC_1436,To verify user is able to add white spaces in city field,Negative
TC_1437,To verify if city field is kept empty and proceeded further,Negative
TC_1438,Keep all fields blank and proceed further,Negative
TC_1439,Keep some fields blank and proceed further,Negative
TC_1440,After filling the valid details and click on Submit,Positive
TC_1441,To verify that user is able to see Personal details pge,Positive
TC_1442,To verify that user is able to view the Resident drop down as mandatory option,Positive
TC_1443,To verify that user is able to click on Resident drop down,Positive
TC_1444,Check Resident dropdown as indian,Positive
TC_1445,To verify that user is able to view the Tax status down as mandatory option,Positive
TC_1446,To verify that user is able to click on Tax status drop down,Positive
TC_1447,To verify if user select tax status as Individual,Positive
TC_1448,To verify that user is able to view the Mode Of Holding drop down as mandatory option,Positive
TC_1449,To verify that user is able to click on the Mode Of Holding drop down,Positive
TC_1450,To verify if user select mode of holding as Single,Positive
TC_1451,Check and verify PAN Field,Positive
TC_1452,Check and verify Name As On PAN Field,Positive
TC_1453,To verify that user is able to view the Date Of Birth field on Personal Details page as mandatory field,Positive
TC_1454,To verify that user is able to view the Place Holder as DD/MM/YYYY in the Date Of Birth field,Positive
TC_1455,To verify that user is able to select Date Of Birth in the Date Of Birth field,Positive
TC_1456,To verify that user is able to enter Date Of Birth in the Date Of Birth field,Positive
TC_1457,To verify that If user enters Date Of Birth less than 18 years,Positive
TC_1458,To verify that If user enters Date Of Birth greater than 18 years,Positive
TC_1459,To verify that user is not enter Date Of Birth in the Date Of Birth field,Positive
TC_1460,To verify if user enters current date in DOB field,Negative
TC_1461,To verify if user enters only month and date in DOB field,Negative
TC_1462,To verify if user enters furture date in DOB field,Negative
TC_1463,"To verify if user is able to enter pass date in DOB field
 E.g if current date is 20 jan 2021 and if user enter date as 19 jan 2020",Negative
TC_1464,To verify that user is able to view Gender option on the Personal Details Page,Positive
TC_1465,To verify that user is able to click on Gender option for Personal Details Page,Positive
TC_1466,"To verify that user is able to view 3 Images for Gender as Male , Female & Transgender",Positive
TC_1467,To verify that user is able to select only one option for Gender,Positive
TC_1468,To verify that if user donot select the Gender then error message is displayed,Positive
TC_1469,To verify user is able to view Mobile no field,Positive
TC_1470,To verify whether user is able to enter alphabets in mobile no field,Positive
TC_1471,To verify user is able to enter numbers in mobile no field,Negative
TC_1472,To verify user is able to enter special characters in mobile no field,Positive
TC_1473,To verify user is able to enter decimal values in mobile no field,Negative
TC_1474,To verify if no value is provided by the user in mobile no field,Negative
TC_1475,To verify user is able to enter white spaces in mobile no field,Negative
TC_1476,To Verify if user enter mobile number more than 10 characters,Negative
TC_1477,To verify if user enters valid mobile number,Negative
TC_1478,To Verify if user enter mobile number less than 10 characters,Positive
TC_1479,To verify if user is able to view email id field,Negative
TC_1480,To verify if user is able to click on email id field,Positive
TC_1481,To verify if user enter valid Email format,Positive
TC_1482,To verify if user enter invalid Email format,Positive
TC_1483,To verify if user enter Email without @ (ex. Abcgmail.com),Negative
TC_1484,To verify if user enter Email without . (ex. abc@gmailcom),Negative
TC_1485,To verify user is able to enter special characters excluding @ and .,Negative
TC_1486,"To verify if user enter Email as ""abc@@gmail.com""",Negative
TC_1487,"To verify if user enter Email as ""abc@gmail..com""",Negative
TC_1488,To verify if no domain has provided,Negative
TC_1489,To verify user is able to view City field,Negative
TC_1490,To verify that user is able to click on the Continue to FATCA Button with keeping all fields blank,Negative
TC_1491,To verify that user is able to click on the Continue to FATCA Button with keeping some fields blank,Negative
TC_1492,To verify that user is able to click on the Continue to FATCA Button with filling all fields,Negative
TC_1493,Check and verify in database,Positive
TC_1494,To verify user is able view FATCA details page,Positive
TC_1495,To verify that user is able to view the Income Slab drop down as mandatory option,Positive
TC_1496,To verify that user is able to click on the Income Slab drop down,Positive
TC_1497,Check by selecting income slab,Positive
TC_1498,To verify that user is able to view the Birth Country drop down as mandatory option,Positive
TC_1499,Check by selecting birth country drodown,Positive
TC_1500,To verify that user is able to view the Nationality drop down as mandatory option,Positive
TC_1501,Check by selecting Nationality,Positive
TC_1502,To verify user is able to view Tax Resident other than India field,Positive
TC_1503,To verify that user is able to view Radio Buttons for Tax Resident other than India option,Positive
TC_1504,To verify that user is able to select only one option for Tax Resident other than India option,Positive
TC_1505,To verify if user is able to select yes radio button,Positive
TC_1506,To verify if user is able to select no radio button,Positive
TC_1507,To verify that user is not able to select more than one option for Tax Resident other than India option,Positive
TC_1508,To verify user is able to view Politically Exposed option field,Positive
TC_1509,To verify that user is able to view Radio Buttons for Politically Exposed option,Positive
TC_1510,To verify that user is able to select only one option for Politically Exposed option,Positive
TC_1511,To verify that user is not able to select more than one option for Politically Exposed option,Positive
TC_1512,To verify if user is able to select yes radio button,Positive
TC_1513,To verify if user is able to select no radio button,Positive
TC_1514,To verify user is able to view Related to Politically Exposed option field,Positive
TC_1515,To verify that user is able to view Radio Buttons for Related to Politically Exposed option,Positive
TC_1516,To verify that user is able to select only one option for Related to Politically Exposed option,Positive
TC_1517,To verify that user is not able to select more than one option for Related to Politically Exposed option,Positive
TC_1518,To verify if user is able to select yes radio button,Positive
TC_1519,To verify if user is able to select no radio button,Positive
TC_1520,"To verify that user is able to view Check Box for I here by confirm that I AM NOT a US Person/Resident of Canada/Non-Resident Indians (NRIs) residing in the Financial Action Task Force (FATF) Non Compliant Countries and Territories (NCCTs)/Overseas Corporate Bodies (OCBs).The term ""U.S Person"" shall mean any person that is a ""United States Person"" within the meaning of Regulation ""S"" under the United States Securities Act of 1933 or as defined by the U.S. Commidity Futures Trading Commission or as per such further amended definiation, interpretations, legislations, rules etc. as may be in force from time to time.",Positive
TC_1521,To verify that user is able to select the check box,Positive
TC_1522,To verify that user is able to uncheck the check box,Positive
TC_1523,To verify that user is able to view the Back Button on the FATCA details Page,Positive
TC_1524,To verify that user is able to click on the Back Button,Positive
TC_1525,To verify that user is able to view the Continue to Nominee Button,Positive
TC_1526,To verify that user is able to click on the Continue to Nominee Button,Positive
TC_1527,To verify that user is able to click on the Continue to Nominee Button with keeping all fields blank,Positive
TC_1528,To verify that user is able to click on the Continue to Nominee Button with keeping some fields blank,Positive
TC_1529,To verify that user is able to click on the Continue to Nominee Button with filling all fields,Positive
TC_1530,Check and verify in database,Positive
TC_1531,Check by clicking on skip button,Positive
TC_1532,click on continue to bank without entering details of nominee 1,Negative
TC_1533,"1.enter details of nominee 1 & click on add
 2. click on continue to bank account details without entering details of nominee 2",Negative
TC_1534,"1.enter details of nominee 1 & click on add
 2. enter details of nominee 2 & click on add
 3.click on continue to bank account details without entering details of nominee 3",Negative
TC_1535,add more than 3 nominee,Positive
TC_1536,add 2 nominee and remove 2nd nominee,Positive
TC_1537,add 3 nominee and remove 3rd nominee,Positive
TC_1538,fill all valid information nominee 1 and click on continue to bank account details and again click on back,Positive
TC_1539,fill all valid information nominee 1 & nominee 2 and click on continue to bank account details and again click on previous,Positive
TC_1540,"fill all valid information nominee 1, nominee 2 and nominee 3 and click on continue to bank account details and again click on previous",Positive
TC_1541,enter valid nominee details of nominee 1 & click on continue to bank account details,Positive
TC_1542,To verify that user is able to view the Nominee Relationship drop down as mandatory option,Positive
TC_1543,To verify that user is able to click on the Nominee Relationship drop down,Positive
TC_1544,without entering nominee name proceed further,Negative
TC_1545,To verify that user is able to enter only alphabets in the Nominee name field,Positive
TC_1546,To verify that user is able to enter numbers in the Nominee name field,Negative
TC_1547,To verify that user is able to enter special characters in the Nominee name field,Negative
